VOC_ID,접수일자,회원등급,이용영역,리뷰원문,만족도점수
VOC_2026_0031,2026-06-29,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0032,2026-06-15,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0033,2026-06-12,아난티(VIP),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0034,2026-06-28,무브(Gold),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0035,2026-06-05,일반회원,예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0036,2026-06-06,무브(Gold),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0037,2026-06-12,아난티(VIP),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0038,2026-06-25,일반회원,식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0039,2026-06-03,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0040,2026-06-08,아난티(VIP),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0041,2026-06-17,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0042,2026-06-16,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0043,2026-06-02,프렌즈(Silver),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0044,2026-06-23,프렌즈(Silver),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0045,2026-06-19,무브(Gold),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0046,2026-06-21,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0047,2026-06-19,아난티(VIP),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0048,2026-06-09,일반회원,예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0049,2026-06-17,일반회원,식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0050,2026-06-27,프렌즈(Silver),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0051,2026-06-26,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0052,2026-06-01,무브(Gold),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0053,2026-06-06,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0054,2026-06-17,프렌즈(Silver),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0055,2026-06-05,무브(Gold),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0056,2026-06-12,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0057,2026-06-14,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0058,2026-06-16,일반회원,식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0059,2026-06-07,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0060,2026-06-01,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0061,2026-06-05,무브(Gold),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0062,2026-06-21,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0063,2026-06-05,아난티(VIP),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0064,2026-06-09,무브(Gold),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0065,2026-06-13,아난티(VIP),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0066,2026-06-03,무브(Gold),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0067,2026-06-20,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0068,2026-06-06,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0069,2026-06-20,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0070,2026-06-27,무브(Gold),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0071,2026-06-22,프렌즈(Silver),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0072,2026-06-24,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0073,2026-06-20,아난티(VIP),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0074,2026-06-13,일반회원,식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0075,2026-06-04,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0076,2026-06-17,일반회원,식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0077,2026-06-20,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0078,2026-06-16,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0079,2026-06-17,아난티(VIP),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0080,2026-06-16,무브(Gold),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0081,2026-06-18,아난티(VIP),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0082,2026-06-17,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0083,2026-06-28,아난티(VIP),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0084,2026-06-14,무브(Gold),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0085,2026-06-26,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0086,2026-06-19,아난티(VIP),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0087,2026-06-05,프렌즈(Silver),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0088,2026-06-25,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0089,2026-06-10,일반회원,식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0090,2026-06-07,아난티(VIP),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0091,2026-06-19,아난티(VIP),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0092,2026-06-01,일반회원,예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0093,2026-06-23,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0094,2026-06-12,아난티(VIP),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0095,2026-06-14,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0096,2026-06-28,일반회원,객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0097,2026-06-12,프렌즈(Silver),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0098,2026-06-25,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0099,2026-06-18,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0100,2026-06-12,일반회원,식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0101,2026-06-10,프렌즈(Silver),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0102,2026-06-24,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0103,2026-06-24,무브(Gold),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0104,2026-06-26,무브(Gold),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0105,2026-06-07,일반회원,식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0106,2026-06-26,아난티(VIP),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0107,2026-06-13,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0108,2026-06-27,무브(Gold),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0109,2026-06-30,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0110,2026-06-03,프렌즈(Silver),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0111,2026-06-12,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0112,2026-06-02,일반회원,예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0113,2026-06-20,프렌즈(Silver),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0114,2026-06-02,무브(Gold),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0115,2026-06-15,아난티(VIP),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0116,2026-06-28,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0117,2026-06-02,무브(Gold),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0118,2026-06-06,아난티(VIP),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0119,2026-06-08,아난티(VIP),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0120,2026-06-03,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
